MarkerID,Chrom
AVRIG08915,chr5H
AVRIG07619,chr4H
AVRIG02932,chr2H
AVRIG00816,chr1H
AVRIG12661,chr7H
AVRIG11365,chr6H
AVRIG11221,chr6H
AVRIG10069,chr5H
AVRIG06291,chr4H
AVRIG12858,chr7H
AVRIG12714,chr7H
AVRIG07784,chr4H
AVRIG07640,chr4H
AVRIG06344,chr4H
AVRIG06200,chr4H
AVRIG05668,chr3H
AVRIG04228,chr3H
AVRIG00981,chr1H
AVRIG36912,chr1H
AVRIG04393,chr3H
AVRIG03097,chr2H
AVRIG05886,chr3H
AVRIG05742,chr3H
AVRIG03626,chr2H
AVRIG37077,chr5H
AVRIG13408,chr7H
AVRIG09298,chr5H
AVRIG09154,chr5H
AVRIG09010,chr5H
AVRIG07038,chr4H
AVRIG03791,chr3H
AVRIG02495,chr2H
AVRIG01055,chr1H
AVRIG01199,chr1H
AVRIG12080,chr7H
AVRIG09827,chr5H
AVRIG01728,chr2H
AVRIG13573,chr7H
AVRIG12277,chr7H
AVRIG12133,chr7H
AVRIG12806,chr7H
AVRIG09992,chr5H
AVRIG08696,chr7H
AVRIG08552,chr5H
AVRIG07256,chr4H
AVRIG07112,chr4H
AVRIG06436,chr4H
AVRIG01893,chr2H
AVRIG00453,chr1H
AVRIG00597,chr4H
AVRIG10182,chr5H
AVRIG07929,chr4H
AVRIG12971,chr7H
AVRIG11675,chr6H
AVRIG11531,chr6H
AVRIG10379,chr5H
AVRIG10235,chr5H
AVRIG05161,chr3H
AVRIG10908,chr6H
AVRIG07950,chr4H
AVRIG06798,chr4H
AVRIG06654,chr4H
AVRIG06510,chr4H
AVRIG04538,chr3H
AVRIG35926,chr5H
AVRIG03263,chr2H
AVRIG03936,chr3H
AVRIG13189,chr7H
AVRIG13045,chr7H
AVRIG37243,chr6H
AVRIG13718,chr7H
AVRIG09464,chr5H
AVRIG09320,chr5H
AVRIG08168,chr5H
AVRIG08024,chr5H
AVRIG07348,chr4H
AVRIG07204,chr4H
AVRIG02661,chr2H
AVRIG01221,chr1H
AVRIG00069,chr1H
AVRIG12390,chr7H
AVRIG11094,chr6H
AVRIG13883,chr7H
AVRIG12587,chr7H
AVRIG12443,chr7H
AVRIG11147,chr6H
AVRIG11003,chr6H
AVRIG06073,chr3H
AVRIG36785,chr6H
AVRIG36641,chr2H
AVRIG13936,chr7H
AVRIG08862,chr5H
AVRIG07566,chr4H
AVRIG07422,chr4H
AVRIG06602,chr4H
AVRIG05306,chr3H
AVRIG00763,chr1H
AVRIG36838,chr7H
AVRIG10492,chr6H
AVRIG11985,chr6H
AVRIG11841,chr6H
AVRIG10545,chr6H
AVRIG05471,chr3H
AVRIG04175,chr3H
AVRIG04031,chr3H
AVRIG10401,chr6H
AVRIG06964,chr4H
AVRIG06820,chr4H
AVRIG04848,chr3H
AVRIG04704,chr3H
AVRIG02080,chr2H
AVRIG08116,chr5H
AVRIG03573,chr2H
AVRIG00017,chr1H
AVRIG02133,chr2H
AVRIG02277,chr2H
AVRIG09609,chr5H
AVRIG04922,chr3H
AVRIG02806,chr2H
AVRIG13499,chr7H
AVRIG13355,chr7H
AVRIG13211,chr7H
AVRIG08281,chr5H
AVRIG00182,chr1H
AVRIG09774,chr5H
AVRIG09630,chr5H
AVRIG08478,chr5H
AVRIG08334,chr5H
AVRIG07658,chr4H
AVRIG07514,chr4H
AVRIG06218,chr4H
AVRIG01531,chr2H
AVRIG01675,chr2H
AVRIG00235,chr1H
AVRIG00379,chr1H
AVRIG00908,chr1H
AVRIG12897,chr7H
AVRIG12753,chr7H
AVRIG11313,chr6H
AVRIG10017,chr5H
AVRIG06383,chr4H
AVRIG05087,chr3H
AVRIG36951,chr2H
AVRIG07876,chr4H
AVRIG07732,chr4H
AVRIG05616,chr3H
Chr_5_598231895,chr5H
AVRIG10999,chr6H
AVRIG10855,chr6H
AVRIG09028,chr5H
AVRIG05781,chr3H
AVRIG04485,chr3H
AVRIG04341,chr3H
AVRIG03189,chr2H
AVRIG03045,chr2H
AVRIG03718,chr2H
AVRIG09193,chr5H
AVRIG02390,chr2H
AVRIG01094,chr1H
AVRIG37169,chr2H
AVRIG37025,chr4H
AVRIG09246,chr5H
